자치구명,법정동명,건물명,물건금액(만원),건물면적(㎡),토지면적(㎡),건축년도
성동구,용답동,(238-7),28600,36.01,47.92,2023.0
성동구,용답동,(238-7),36050,41.63,55.3,2023.0
성동구,용답동,(238-7),20800,24.34,32.57,2023.0
성동구,용답동,(238-7),32350,40.98,54.24,2023.0
성동구,용답동,(238-7),22450,26.78,35.99,2023.0
성동구,용답동,(238-7),32700,40.98,54.24,2023.0
성동구,용답동,(238-7),22200,26.78,35.99,2023.0
성동구,용답동,(238-7),32150,40.72,53.55,2023.0
도봉구,창동,삼익빌라,50000,149.76,144.84,1994.0
성동구,용답동,(238-7),22450,26.78,35.99,2023.0
성동구,용답동,(238-7),32200,40.98,54.24,2023.0
성동구,용답동,(238-7),32300,40.72,53.55,2023.0
성동구,용답동,(238-7),31500,40.98,54.24,2023.0
성동구,용답동,(238-7),34900,41.97,55.12,2023.0
성동구,용답동,(238-7),32500,40.72,53.55,2023.0
성동구,용답동,(238-7),37800,44.76,59.3,2023.0
성동구,용답동,(238-7),33600,41.21,54.38,2023.0
성동구,용답동,(238-7),32500,40.98,54.24,2023.0
성동구,용답동,(238-7),35500,41.63,55.3,2023.0
강남구,대치동,대치 클래시아,64000,30.22,41.05,2015.0
강서구,화곡동,SK파크리움(851-33),29000,25.7,15.65,2022.0
성동구,용답동,(238-7),15300,18.76,25.25,2023.0
성동구,용답동,(238-7),22850,26.78,35.99,2023.0
성동구,용답동,(238-7),31650,40.98,54.24,2023.0
성동구,용답동,(238-7),32900,41.21,54.38,2023.0
성동구,용답동,(238-7),22400,26.78,35.99,2023.0
성동구,용답동,(238-7),37400,46.88,61.39,2023.0
성동구,용답동,(238-7),20300,24.34,32.57,2023.0
성동구,용답동,(238-7),31650,40.72,53.55,2023.0
강서구,화곡동,동도파크뷰(813-13),15500,29.73,17.63,2013.0
성동구,용답동,(238-7),30550,36.02,47.81,2023.0
성동구,용답동,(238-7),32200,40.98,54.24,2023.0
노원구,상계동,상계현대3차,60000,84.96,0.0,1999.0
성동구,용답동,(238-7),35900,41.63,55.3,2023.0
강서구,염창동,등촌제이스카이,33000,28.94,0.0,2021.0
성동구,용답동,(238-7),18600,21.79,29.51,2023.0
성동구,용답동,(238-7),28000,36.01,47.92,2023.0
영등포구,양평동4가,코쿤하우스,15000,28.7,12.47,2011.0
성동구,용답동,(238-7),35450,41.97,55.12,2023.0
성동구,용답동,(238-7),27250,36.01,47.92,2023.0
성동구,용답동,(238-7),20500,24.34,32.57,2023.0
성동구,용답동,(238-7),28300,36.01,47.92,2023.0
마포구,동교동,LG팰리스빌딩,23500,43.58,54.81,1999.0
성동구,용답동,(238-7),31000,40.72,53.55,2023.0
성동구,용답동,(238-7),22550,26.78,35.99,2023.0
성동구,용답동,(238-7),20500,24.34,32.57,2023.0
성동구,용답동,(238-7),36450,44.76,59.3,2023.0
성동구,용답동,(238-7),35300,41.97,55.12,2023.0
강북구,수유동,대창그린빌,24800,76.24,38.21,2009.0
성동구,용답동,(238-7),21000,24.34,32.57,2023.0
성동구,용답동,(238-7),22650,26.78,35.99,2023.0
성동구,용답동,(238-7),30750,36.02,47.81,2023.0
성동구,용답동,(238-7),27150,36.01,47.92,2023.0
성동구,용답동,(238-7),33250,41.21,54.38,2023.0
성동구,용답동,(238-7),33450,41.21,54.38,2023.0
성동구,용답동,(238-7),36250,44.76,59.3,2023.0
성동구,용답동,(238-7),37050,46.88,61.39,2023.0
성동구,용답동,(238-7),37450,44.76,59.3,2023.0
성동구,용답동,(238-7),15150,18.76,25.25,2023.0
성동구,용답동,(238-7),33750,41.21,54.38,2023.0
성동구,용답동,(238-7),38350,44.76,59.3,2023.0
성동구,용답동,(238-7),18800,21.79,29.51,2023.0
성동구,용답동,(238-7),30400,36.02,47.81,2023.0
성동구,용답동,(238-7),32000,40.72,53.55,2023.0
성동구,용답동,(238-7),35500,41.63,55.3,2023.0
강북구,번동,주공1단지,41500,41.3,0.0,1991.0
성동구,용답동,(238-7),27550,36.01,47.92,2023.0
성동구,용답동,(238-7),30400,36.02,47.81,2023.0
성동구,용답동,(238-7),30900,36.02,47.81,2023.0
성동구,용답동,(238-7),20500,24.34,32.57,2023.0
은평구,불광동,주영빌트(13-16),32000,56.91,22.53,2016.0
성동구,용답동,(238-7),20700,24.34,32.57,2023.0
성동구,용답동,(238-7),18800,21.79,29.51,2023.0
성동구,용답동,(238-7),32050,41.21,54.38,2023.0
강서구,화곡동,안곡빌라(56-70),11900,32.89,27.5,1990.0
강동구,천호동,청운캐슬(575),26000,25.33,16.23,2019.0
양천구,신월동,더위너스,15500,31.18,18.42,2010.0
성동구,용답동,(238-7),35000,41.63,55.3,2023.0
성동구,용답동,(238-7),28600,36.01,47.92,2023.0
은평구,응암동,더위일,58000,58.77,0.0,2017.0
성동구,용답동,(238-7),35900,41.63,55.3,2023.0
성동구,용답동,(238-7),36850,44.76,59.3,2023.0
성동구,용답동,(238-7),30650,40.72,53.55,2023.0
성동구,용답동,(238-7),28900,36.01,47.92,2023.0
성동구,용답동,(238-7),28000,36.01,47.92,2023.0
성동구,용답동,(238-7),35450,46.88,61.39,2023.0
성동구,용답동,(238-7),18600,21.79,29.51,2023.0
강서구,화곡동,오화주택,15400,59.8,37.4,2001.0
성동구,용답동,(238-7),34900,41.97,55.12,2023.0
강서구,등촌동,등촌동성원상떼뷰오피스텔,11500,37.54,52.51,2003.0
서초구,방배동,더존퍼스트빌,90000,48.29,28.5,2017.0
성동구,용답동,(238-7),18600,21.79,29.51,2023.0
강서구,화곡동,계명(350-33),27500,67.82,0.0,2000.0
성동구,용답동,(238-7),32400,41.21,54.38,2023.0
성동구,용답동,(238-7),15450,18.76,25.25,2023.0
성동구,용답동,(238-7),37950,44.76,59.3,2023.0
은평구,갈현동,(25-6),43400,27.45,18.67,1995.0
성동구,용답동,(238-7),36350,41.63,55.3,2023.0
중랑구,중화동,한신연립,10000,39.72,21.31,1986.0
성동구,용답동,(238-7),20900,24.34,32.57,2023.0
성동구,용답동,(238-7),32400,41.21,54.38,2023.0
성동구,용답동,(238-7),20400,24.34,32.57,2023.0
성동구,용답동,(238-7),37800,44.76,59.3,2023.0
송파구,방이동,대명벨리온,18300,17.32,28.11,
성동구,용답동,(238-7),35700,46.88,61.39,2023.0
성동구,용답동,(238-7),32000,41.21,54.38,2023.0
성동구,용답동,(238-7),29950,36.02,47.81,2023.0
성동구,용답동,(238-7),22650,26.78,35.99,2023.0
성동구,용답동,(238-7),32000,40.72,53.55,2023.0
성동구,용답동,(238-7),34550,41.97,55.12,2023.0
성동구,용답동,(238-7),30500,40.72,53.55,2023.0
은평구,대조동,현대,24700,31.24,15.72,1991.0
영등포구,양평동4가,코쿤하우스,16000,28.21,13.25,2011.0
용산구,한남동,투웨니퍼스트,75000,44.27,30.53,2018.0
성동구,용답동,(238-7),35900,41.63,55.3,2023.0
성동구,용답동,(238-7),22650,26.78,35.99,2023.0
노원구,월계동,주공2,33000,44.94,0.0,1992.0
성동구,용답동,(238-7),35000,41.63,55.3,2023.0
성동구,용답동,(238-7),35800,41.97,55.12,2023.0
구로구,오류동,양지마을(171-8),50000,59.78,33.39,2022.0
성동구,용답동,(238-7),34200,41.97,55.12,2023.0
관악구,봉천동,(635-99),12700,37.95,25.3,1986.0
성동구,용답동,(238-7),32200,40.98,54.24,2023.0
도봉구,창동,한신APT,34500,59.96,0.0,1999.0
강동구,둔촌동,대우하이츠빌라,29800,52.47,20.84,1993.0
성동구,용답동,(238-7),27700,36.01,47.92,2023.0
성동구,용답동,(238-7),31650,40.72,53.55,2023.0
성동구,용답동,(238-7),15300,18.76,25.25,2023.0
성동구,용답동,(238-7),18300,21.79,29.51,2023.0
성동구,용답동,(238-7),20700,24.34,32.57,2023.0
성동구,용답동,(238-7),14800,18.76,25.25,2023.0
성동구,용답동,(238-7),35300,41.97,55.12,2023.0
성동구,용답동,(238-7),33250,41.21,54.38,2023.0
성동구,용답동,(238-7),15550,18.76,25.25,2023.0
성동구,용답동,(238-7),30400,36.02,47.81,2023.0
마포구,망원동,마포한강제이스카이,64800,49.74,0.0,2019.0
성동구,용답동,(238-7),37400,46.88,61.39,2023.0
관악구,봉천동,현대타운,45000,51.29,41.46,2016.0
성동구,용답동,(238-7),32900,41.21,54.38,2023.0
성동구,용답동,(238-7),20700,24.34,32.57,2023.0
성동구,용답동,(238-7),38000,46.88,61.39,2023.0
성동구,용답동,(238-7),34400,41.63,55.3,2023.0
구로구,구로동,(740-24),13700,34.6,0.0,2000.0
성동구,용답동,(238-7),15300,18.76,25.25,2023.0
성동구,용답동,(238-7),37600,46.88,61.39,2023.0
성동구,용답동,(238-7),35900,46.88,61.39,2023.0
성동구,용답동,(238-7),33250,41.21,54.38,2023.0
성동구,용답동,(238-7),14950,18.76,25.25,2023.0
성동구,용답동,(238-7),14850,18.76,25.25,2023.0
강남구,역삼동,(781-28),33800,22.95,14.68,2011.0
성동구,용답동,(238-7),14950,18.76,25.25,2023.0
서대문구,홍제동,홍제현대,96000,119.32,0.0,1992.0
성동구,용답동,(238-7),34550,41.97,55.12,2023.0
노원구,상계동,상계주공14(고층),40000,45.55,0.0,1989.0
송파구,가락동,제일오피스텔,23600,30.06,41.71,1992.0
구로구,구로동,로제리움2차,11960,14.91,0.0,2014.0
성동구,용답동,(238-7),30100,36.02,47.81,2023.0
성동구,용답동,(238-7),31650,40.98,54.24,2023.0
성동구,용답동,(238-7),22950,26.78,35.99,2023.0
성동구,용답동,(238-7),18800,21.79,29.51,2023.0
성동구,용답동,(238-7),35300,41.97,55.12,2023.0
성동구,용답동,(238-7),31850,40.98,54.24,2023.0
성동구,용답동,(238-7),28300,36.01,47.92,2023.0
성동구,용답동,(238-7),30100,36.02,47.81,2023.0
성동구,용답동,(238-7),28300,36.01,47.92,2023.0
성동구,용답동,(238-7),35900,46.88,61.39,2023.0
성동구,용답동,(238-7),37800,44.76,59.3,2023.0
은평구,응암동,백련산힐스테이트3차,70000,59.63,0.0,2011.0
강북구,미아동,남양빌라,17500,48.48,19.81,1995.0
강서구,화곡동,블리스빌101동102동,41000,43.55,30.75,2022.0
관악구,봉천동,제일캠퍼스텔,7500,17.01,27.28,1998.0
금천구,시흥동,관악산벽산타운5,60350,114.84,0.0,2004.0
동작구,사당동,뜰사랑,38800,47.77,28.04,2013.0
관악구,남현동,동송하이클래스,60700,76.54,0.0,2003.0
금천구,시흥동,관악산벽산타운5,42000,59.34,0.0,2004.0
강동구,길동,장인이즈빌,62400,72.77,0.0,2004.0
금천구,시흥동,스타빌리지,30500,29.89,18.46,2022.0
중랑구,묵동,천우네오젠(126-61),44500,39.89,32.81,2022.0
중랑구,면목동,우리연립,19000,26.73,23.14,1977.0
양천구,신정동,신정파크빌,63500,71.06,30.31,2002.0
강남구,자곡동,강남 푸르지오시티 2차(PRUGIO CITYⅡ),15000,22.44,29.73,2014.0
성북구,길음동,롯데캐슬클라시아,140000,84.98,0.0,2022.0
강동구,명일동,고덕역 효성해링턴 타워 더퍼스트,28000,26.4,40.61,2020.0
강동구,천호동,강동리버스타운,27650,30.06,19.29,2018.0
관악구,남현동,로젠하임,33000,29.99,18.21,2017.0
강남구,삼성동,삼성동 롯데캐슬 클라쎄,34500,21.87,32.49,2019.0
동작구,상도동,(210-188),22000,46.44,25.15,2016.0
은평구,구산동,은평서해그랑블,54500,59.65,0.0,2022.0
강북구,수유동,태양빌라,14100,36.15,28.35,1994.0
동대문구,전농동,현대연립가동,23500,41.25,26.87,1986.0
구로구,구로동,신도림태영타운,98000,84.87,0.0,2000.0
금천구,독산동,리치에코빌,25000,38.87,22.9,2014.0
은평구,불광동,소원노블레스,25900,29.81,17.74,2018.0
노원구,중계동,주공2,35000,44.52,0.0,1992.0
구로구,구로동,예성유토피아,29400,40.68,54.82,2005.0
성북구,길음동,롯데캐슬클라시아,99000,59.88,0.0,2022.0
양천구,목동,(231-88),16000,31.78,17.21,1996.0
광진구,자양동,(229-49),22900,20.16,19.55,2008.0
양천구,목동,목동신시가지1,200000,99.15,0.0,1985.0
중랑구,신내동,신내6대주,38000,39.84,0.0,1996.0
양천구,신정동,래미안목동아델리체(1326),141000,84.95,0.0,2021.0
마포구,성산동,벽산상암스마트큐브,14700,20.74,30.39,2017.0
강서구,화곡동,다원슈슈빌(827-21),15500,36.16,24.06,2011.0
강남구,대치동,은마,239500,76.79,0.0,1979.0
강남구,자곡동,강남유탑유블레스,16000,25.7,32.57,2014.0
구로구,구로동,극동,45000,58.19,0.0,1984.0
종로구,옥인동,옥인,44000,59.23,48.9,1980.0
성북구,정릉동,길음뉴타운경남아너스빌,58500,59.59,0.0,1999.0
강동구,천호동,디아트,29500,28.92,17.21,2020.0
서초구,방배동,방배 서리풀 그랑블,182000,84.99,0.0,2019.0
영등포구,당산동1가,코오롱,57000,59.6,0.0,1996.0
양천구,신월동,신월시영,48600,43.2,0.0,1988.0
도봉구,창동,태영데시앙,75000,85.0,0.0,2003.0
강동구,둔촌동,그린캐슬,28500,41.34,18.85,2012.0
동대문구,장안동,양지쉐르빌아파트(415-1),46000,56.4,0.0,2016.0
은평구,응암동,한성벨라트리,34000,29.87,15.13,2019.0
마포구,성산동,상암미르웰한올림,15500,16.36,22.99,2018.0
강서구,마곡동,마곡나루역보타닉푸르지오시티,18300,22.2,31.65,2017.0
성동구,금호동3가,(64-0),62000,52.02,39.67,1990.0
강동구,천호동,천호역 한강 푸르지오시티,16200,25.06,35.66,2015.0
동작구,사당동,초원빌라A,20000,38.28,26.03,1986.0
성북구,종암동,삼성래미안,71800,59.99,0.0,2004.0
성북구,정릉동,삼성그린빌라,19200,29.4,16.41,2014.0
노원구,상계동,상계주공1(고층),53000,49.94,0.0,1988.0
동대문구,휘경동,롯데,78000,84.89,0.0,2000.0
도봉구,방학동,송학휴스테이,39000,55.54,0.0,2016.0
중랑구,면목동,사가정센트럴아이파크,120000,84.96,0.0,2020.0
금천구,시흥동,별하우스,26000,57.48,34.22,2014.0
도봉구,방학동,태솔에버빌아파트,30000,65.21,0.0,2008.0
성북구,종암동,삼성래미안,71800,59.99,0.0,2004.0
용산구,한남동,언고오피스텔,21000,21.33,29.83,2004.0
강북구,미아동,,74000,158.84,90.0,1992.0
은평구,진관동,아이파크 포레스트 게이트,26000,34.02,48.87,2013.0
강남구,역삼동,엘지역삼에클라트,25700,36.24,50.62,2004.0
강동구,천호동,대우 한강 베네시티,34000,47.28,61.52,2007.0
마포구,망원동,(464-4),29700,43.72,22.48,1991.0
성북구,상월곡동,동아에코빌,55500,59.95,0.0,2003.0
중랑구,상봉동,"엘지,쌍용아파트",54800,68.12,0.0,1996.0
마포구,연남동,성운타운,39000,27.7,17.14,2016.0
서대문구,대현동,영타운 지웰 에스테이트,19600,20.27,31.44,2017.0
강서구,가양동,마곡파크뷰비동,19700,22.26,14.12,2017.0
은평구,응암동,삼영노블레스,51000,67.99,0.0,2010.0
성북구,종암동,삼성래미안,71800,59.99,0.0,2004.0
광진구,군자동,에피소드1,21000,17.81,0.0,2014.0
은평구,녹번동,힐스테이트녹번,74100,49.95,0.0,2019.0
은평구,불광동,경인에버빌,36300,29.98,18.6,2021.0
광진구,자양동,자양7차현대홈타운,105000,59.94,0.0,2001.0
성동구,성수동1가,그레이스힐,14700,15.15,9.66,2012.0
강동구,명일동,삼익가든,105000,82.45,0.0,1984.0
강동구,천호동,성우스타팰리스,31000,28.8,8.72,2017.0
은평구,갈현동,하오빌,27000,29.45,21.02,2017.0
중랑구,면목동,(542-22),39000,26.65,18.65,2020.0
관악구,봉천동,봉천우성,61200,59.76,0.0,2000.0
송파구,가락동,	(98-7)	,9800,35.24,45.75,1990.0
영등포구,양평동5가,선유도역 마들렌 오피스텔,20000,29.41,32.15,2021.0
성북구,정릉동,정릉2차e-편한세상,80800,84.4,0.0,2009.0
영등포구,양평동5가,에듀시티에비앙,32000,28.6,35.97,2017.0
금천구,독산동,유진하이츠빌라,22800,35.1,14.95,1994.0
은평구,역촌동,그린아트빌,29000,75.79,40.0,2008.0
노원구,상계동,보광빌딩,25000,43.24,62.54,2006.0
강동구,길동,신동아4,74500,81.5,0.0,1999.0
도봉구,창동,창동신원리베르텔,14000,31.49,39.92,2003.0
성동구,하왕십리동,센트라스,140000,84.96,0.0,2016.0
노원구,상계동,재연하이츠빌라2차,45000,69.24,44.15,1998.0
구로구,고척동,한일가든빌라,17000,78.57,43.66,1995.0
양천구,신월동,"광명주택(다,라동)",10000,36.45,35.08,1986.0
강북구,미아동,삼각산아이원,60000,84.71,0.0,2003.0
관악구,신림동,신안빌라(98-222),19500,45.0,30.08,1991.0
관악구,신림동,우현하우징,30500,51.0,32.31,2012.0
서초구,양재동,백송빌리지,15120,41.08,25.8,1997.0
도봉구,방학동,벽산아파트1,35500,63.38,0.0,1991.0
관악구,봉천동,캐릭터그린빌,107000,120.54,0.0,2000.0
강서구,마곡동,마곡센트럴대방디엠시티오피스텔,23000,30.84,44.29,2017.0
강동구,성내동,브라운스톤천호,19200,30.09,42.43,2007.0
송파구,신천동,장미2,202750,82.45,0.0,1979.0
